Rank;Name;City;Country;Height_m;Height_ft;Floors;Built
103;Yokohama Landmark Tower;Yokohama;Japan;296;972;73;1993
104;Emirates Crown;Dubai;UAE;296;971;63;2008
105;Central Park Office Tower;Dubai;UAE;294;964;49;2011
105;Khalid Al Attar Tower 2;Dubai;UAE;294;964;61;2010
107;311 South Wacker Drive;Chicago;USA;293;961;65;1990
107;Trump Ocean Club International Hotel and Tower;Panama City;Panama;293;961;68;2011
108;Haeundae I Park Marina Tower 2;Busan;South Korea;292;959;72;2012
110;American International Building;New York;USA;290;952;66;1932
111;Busan International Finance Center;Busan;South Korea;289;948;63;2014
111;Dongguan TBA Tower;Dongguan;China;289;948;68;2010
113;Key Tower;Cleveland;USA;289;947;57;1991
114;One Liberty Place;Philadelphia;USA;288;945;61;1987
114;Plaza 66 Tower One;Shanghai;China;288;945;66;2001
116;Chongqing Poly Tower;Chongqing;China;287;941;58;2010
117;Columbia Center;Seattle;USA;285;937;76;1985
118;Yingli Tower;Chongqing;China;285;936;65;2012
119;Millennium Tower;Dubai;UAE;285;935;60;2006
119;Sulafa Tower;Dubai;UAE;285;935;75;2010
121;Tomorrow Square;Shanghai;China;285;934;55;2003
122;D1;Dubai;UAE;284;932;80;2012
123;Chongqing World Trade Center;Chongqing;China;283;929;60;2005
124;Cheung Kong Centre;Hong Kong;Hong Kong;283;928;62;1999
125;40 Wall Street (The Trump Building);New York;USA;283;927;70;1930
126;Suzhou RunHua Global Building A;Suzhou;China;282;925;49;2010
127;We've the Zenith Tower B;Busan;South Korea;282;924;75;2011
128;Vitri Tower;Panama City;Panama;281;922;75;2012
129;Bank of America Plaza;Dallas;USA;281;921;72;1985
130;Marina Pinnacle;Dubai;UAE;280;919;73;2010
130;OUB Centre;Singapore;Singapore;280;919;66;1986
130;UOB Plaza One;Singapore;Singapore;280;919;66;1992
130;Republic Plaza;Singapore;Singapore;280;919;66;1996
130;Zhengzhou Greenland Plaza;Zhengzhou;China;280;919;56;2012
135;Seoul International Financial Center;Seoul;South Korea;279;916;55;2012
136;Citigroup Center;New York;USA;279;915;59;1977
137;Hong Kong New World Tower;Shanghai;China;278;913;61;2002
138;Trust Tower;Abu Dhabi;UAE;278;912;60;2010
139;Etihad Tower 1;Abu Dhabi;UAE;278;911;70;2011
140;Trump International Hotel and Tower;Toronto;Canada;277;908;57;2012
141;Diwang International Commerce Center;Nanning;China;276;906;54;2006
142;Scotia Plaza;Toronto;Canada;275;902;68;1988
143;Williams Tower;Houston;USA;275;901;64;1983
144;Nantong Zhongnan International Plaza;Nantong;China;273;897;53;2011
145;Shimao International Center;Fuzhou;China;273;896;56;2012
145;Lvjing Tower;Shenzhen;China;273;896;56;2011
145;Wuhan World Trade Tower;Wuhan;China;273;896;58;1998
148;Haeundae I Park Marina Tower 1;Busan;South Korea;273;895;66;2011
149;United International;Chongqing;China;271;889;68;2012
150;Renaissance Tower;Dallas;USA;270;886;56;1974
150;China International Center Tower B;Guangzhou;China;270;886;62;2007
150;The Cullinan South Tower;Hong Kong;Hong Kong;270;886;68;2008
150;The Cullinan North Tower;Hong Kong;Hong Kong;270;886;68;2008
154;Dapeng International Plaza;Guangzhou;China;269;884;56;2006
155;JAL Hotel;Dubai;UAE;269;883;60;2008
155;21st Century Tower;Dubai;UAE;269;883;55;2003
155;One Lujiazui;Shanghai;China;269;883;47;2008
158;Bitexco Financial Tower;Ho Chi Minh City;Vietnam;269;882;68;2010
159;Naberezhnaya Tower C;Moscow;Russia;268;881;61;2007
160;Bank of Guangzhou Tower;Guangzhou;China;268;878;57;2012
161;8 Spruce Street;New York;USA;267;876;76;2010
161;Star Bay Tower;Panama City;Panama;267;876;65;2012
161;Al Faisaliyah Center;Riyadh;Saudi Arabia;267;876;44;2000
164;Fortune Center Phase 3;Beijing;China;266;874;56;2012
165;The Point;Panama City;Panama;266;873;65;2011
166;The River;Bangkok;Thailand;265;871;73;2012
166;Bank of America Corporate Center;Charlotte;USA;265;871;60;1992
168;We've the Zenith Tower C;Busan;South Korea;265;869;70;2011
168;WBC The Palace Towers Tower 1;Busan;South Korea;265;869;71;2010
168;WBC The Palace Towers Tower 2;Busan;South Korea;265;869;71;2010
168;900 North Michigan;Chicago;USA;265;869;66;1989
168;Al Kazim Tower 1;Dubai;UAE;265;869;53;2008
168;Al Kazim Tower 2;Dubai;UAE;265;869;53;2008
168;120 Collins Street;Melbourne;Australia;265;869;52;1991
168;Bocom Financial Towers;Shanghai;China;265;869;52;2002
176;SunTrust Plaza;Atlanta;USA;264;867;60;1992
177;Triumph-Palace;Moscow;Russia;264;866;54;2005
177;Arts Tower;Panama City;Panama;264;866;80;2012
179;Samsung Tower Palace 3, Tower G;Seoul;South Korea;264;865;73;2004
180;Ubora Tower;Dubai;UAE;263;862;58;2011
181;Water Tower Place;Chicago;USA;262;859;74;1976
181;Aqua;Chicago;USA;262;859;86;2009
181;Trump World Tower;New York;USA;262;859;72;2001
181;Grand Gateway Shanghai I;Shanghai;China;262;859;52;2005
181;Grand Gateway Shanghai II;Shanghai;China;262;859;52;2005
186;Aon Center;Los Angeles;USA;262;858;62;1973
187;Central Park Residential Tower;Dubai;UAE;261;856;51;2011
187;The Masterpiece;Hong Kong;Hong Kong;261;856;64;2007
187;Sapphire of Istanbul;Istanbul;Turkey;261;856;54;2010
187;Grand Lisboa;Macau;China;261;856;47;2008
187;East Pacific Center Tower B;Shenzhen;China;261;856;72;2012
187;TD Canada Trust Tower;Toronto;Canada;261;856;53;1990
193;Etihad Tower 3;Abu Dhabi;UAE;260;854;62;2011
194;Vision Tower;Dubai;UAE;260;853;60;2010
194;Bahrain Financial Harbour 1;Manama;Bahrain;260;853;53;2007
194;Bahrain Financial Harbour 2;Manama;Bahrain;260;853;53;2007
194;Abraj Al Bait Hajar Tower;Mecca;Saudi Arabia;260;853;48;2012
194;Abraj Al Bait ZamZam Tower;Mecca;Saudi Arabia;260;853;48;2012
194;101 Collins Street;Melbourne;Australia;260;853;50;1991
194;Transamerica Pyramid;San Francisco;USA;260;853;48;1972
194;Shanghai IFC North Tower;Shanghai;China;260;853;60;2011
194;Jing'an Kerry Center Phase 2;Shanghai;China;260;853;58;2012
194;Sunny World Center;Shenyang;China;260;853;59;2012
194;Shenzhen Special Zone Press Tower;Shenzhen;China;260;853;48;1998
205;Chase Tower;Chicago;USA;259;850;60;1969
205;Commerzbank Tower;Frankfurt;Germany;259;850;56;1997
205;PBCOM Tower;Makati;Philippines;259;850;55;2000
205;GE Building;New York;USA;259;850;69;1933
209;Two Liberty Place;Philadelphia;USA;258;848;58;1990
210;Huamin Imperial Tower;Shanghai;China;258;847;63;2011
211;Lanko┬╖Grand Hyatt Hotel;Chongqing;China;258;846;60;2004
211;Tianjin Hutchinson Whampoa Metro Plaza;Tianjin;China;258;846;53;2012
213;Park Tower;Chicago;USA;257;844;67;2000
213;Ciputra World Hotel Tower;Jakarta;Indonesia;257;844;49;2013
213;Devon Tower;Oklahoma City;USA;257;844;50;2012
216;St. Petersburg Tower;Moscow;Russia;257;843;65;2010
217;Messeturm;Frankfurt;Germany;257;842;55;1990
218;Sorrento 1;Hong Kong;Hong Kong;256;841;75;2003
218;U.S. Steel Tower;Pittsburgh;USA;256;841;64;1970
220;The Harbour Hotel & Residence;Dubai;UAE;256;840;59;2007
220;Ubora Tower 1;Dubai;UAE;256;840;59;2007
220;Rinku Gate Tower Building;Izumisano;Japan;256;840;56;1996
220;Hyperion Tower A;Seoul;South Korea;256;840;69;2003
224;Conrad Hotel;Dubai;UAE;255;837;51;2012
224;Langham Place Office Tower;Hong Kong;Hong Kong;255;837;59;2004
224;New Century Plaza Tower A;Nanjing;China;255;837;52;2006
224;Tower Financial Center;Panama City;Panama;255;837;53;2011
228;The Imperial I;Mumbai;India;254;833;60;2009
228;The Imperial II;Mumbai;India;254;833;60;2009
230;Chase Tower;Indianapolis;USA;253;830;48;1990
230;Capital Tower;Singapore;Singapore;253;830;52;2000
232;Highcliff;Hong Kong;Hong Kong;252;828;72;2003
233;Reflection Jomtien Beach Oceanfront Tower A;Chonburi;Thailand;252;827;58;2013
233;Osaka World Trade Center Building;Osaka;Japan;252;827;55;1995
233;Bank of Shanghai Headquarters;Shanghai;China;252;827;46;2005
236;The Harbourside;Hong Kong;Hong Kong;251;824;73;2003
236;Rialto Towers;Melbourne;Australia;251;824;63;1986
238;Jiali Plaza;Wuhan;China;251;823;61;1997
239;The Gate Tower 1;Abu Dhabi;UAE;250;820;65;2012
239;The Gate Tower 2;Abu Dhabi;UAE;250;820;65;2012
239;The Gate Tower 3;Abu Dhabi;UAE;250;820;65;2012
239;One Atlantic Center;Atlanta;USA;250;820;50;1987
239;Beijing Yintai Centre Tower 2;Beijing;China;250;820;63;2007
239;Angsana Hotel Tower 1;Dubai;UAE;250;820;49;2008
239;Angsana Hotel Tower 2;Dubai;UAE;250;820;49;2008
239;Chelsea Tower;Dubai;UAE;250;820;49;2005
239;Ahmed Khoory Tower;Dubai;UAE;250;820;60;2012
239;Post & Telecommunication Hub;Guangzhou;China;250;820;66;2003
239;Wisma 46;Jakarta;Indonesia;250;820;48;1996
239;Caja Madrid Tower;Madrid;Spain;250;820;45;2008
239;The Gramercy Residences;Makati;Philippines;250;820;73;2012
239;Discovery Primea;Makati;Philippines;250;820;68;2013
253;The Legacy at Millennium Park;Chicago;USA;250;819;73;2010
253;International Hainan Airlines Plaza;Haikou;China;250;819;54;2012
253;63 Building;Seoul;South Korea;250;819;60;1985
256;Infinity;Brisbane;Australia;249;817;81;2013
256;Al Tayer Tower;Dubai;UAE;249;817;49;2009
256;Metapolis 101;Hwaseong City;South Korea;249;817;66;2010
256;Torre de Cristal;Madrid;Spain;249;817;45;2008
256;Cathay Pacific Plaza 1;Ordos;China;249;817;55;2012
256;Cathay Pacific Plaza 2;Ordos;China;249;817;55;2012
256;Central Park;Perth;Australia;249;817;52;1992
263;CitySpire Center;New York;USA;248;814;75;1987
263;Midtown Tower;Tokyo;Japan;248;814;54;2007
265;One Chase Manhattan Plaza;New York;USA;248;813;60;1960
266;State Tower;Bangkok;Thailand;247;810;68;2001
266;Metapolis 104;Hwaseong City;South Korea;247;810;66;2010
266;Midland Square;Nagoya;Japan;247;810;47;2007
269;Conde Nast Building;New York;USA;247;809;48;1999
270;MetLife Building;New York;USA;246;808;59;1963
270;Kai Yuen World Center;Shijiazhuang;China;246;808;53;2012
272;Stock Exchange Plaza;Shenzhen;China;246;807;51;2012
273;Bloomberg Tower;New York;USA;246;806;54;2005
273;Qingdao International Trade Center 1;Qingdao;China;246;806;50;2012
273;Qingdao International Trade Center 2;Qingdao;China;246;806;50;2012
276;Federation of Korean Industries Head Office;Seoul;South Korea;245;805;50;2013
277;Oasis Beach Tower;Dubai;UAE;245;804;51;2006
277;Al Fattan Tower;Dubai;UAE;245;804;51;2006
277;Churchill Residency;Dubai;UAE;245;804;59;2010
277;JR Central Towers;Nagoya;Japan;245;804;51;2007
277;AVIC Plaza;Shenzhen;China;245;804;52;2012
277;One Raffles Quay;Singapore;Singapore;245;804;59;2006
277;The Sail @ Marina Bay;Singapore;Singapore;245;804;59;2000
284;Varyap Meridian Grand Tower 1;Istanbul;Turkey;244;801;61;2012
284;AAM Tower;Dubai;UAE;244;801;46;2008
284;Moshe Aviv Tower;Ramat Gan;Israel;244;801;69;2003
287;BHP Billiton Tower;Perth;Australia;244;800;46;2012
288;Maybank Tower;Kuala Lumpur;Malaysia;243;799;50;1987
289;Soleil;Brisbane;Australia;243;797;74;2011
289;Dalian Futures Square 1;Dalian;China;243;797;53;2010
289;The Tower;Dubai;UAE;243;797;54;2002
289;Soul;Gold Coast;Australia;243;797;77;2011
289;R&F Centre;Guangzhou;China;243;797;54;2007
289;F&F Tower;Panama City;Panama;243;797;52;2011
289;Citigroup Centre;Sydney;Australia;243;797;50;2000
289;Tokyo Metropolitan Government Building;Tokyo;Japan;243;797;48;1991
297;Dalian World Trade Centre;Dalian;China;242;796;61;2000
298;Federation West Tower;Moscow;Russia;242;795;62;2007
298;Pearl Tower;Panama City;Panama;242;795;70;2011
300;Torre Waters;Panama City;Panama;242;794;75;2011
